Doc Name,Observation Unit,Source Document,Judges On Panel,Appointing Presidents On Panel,Appointing Parties On Panel,Policy Instrument Purpose,Plaintiff Immigration Status Type,Policy Instrument Type,Policy Instrument Issuing Authority,Court Decision Legal Basis,Decision Date,Immigration Policy At Issue,Executive Order Name,Legal Challenge Grounds,Defendant Entity Types,Injunction Scope,Policy Instrument Date,Judge Names,Judge Decision Outcome,Case Subject Matter,Administration At Issue,Policy Instrument Target Group,Executive Order Number,Judge Decision Tendency,Court Level,Case Proceeding Type,Plaintiff Entity Types,Court name
Judge Marsha S. Berzon,Judge Marsha S. Berzon,Perdomo2025-08-01CA9,"{'name': 'Marsha S. Berzon', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'PER CURIAM', 'role': 'Circuit Judge'}",[],[],"To conduct immigration enforcement operations, including detentive stops, in public places and at businesses suspected of employing individuals without legal documentation.",U.S. citizen,Operation,Department of Homeland Security (DHS) / U.S. Immigration and Customs Enforcement (ICE) / U.S. Customs and Border Patrol (CBP),Fourth Amendment,"August 1, 2025","A policy, pattern, and/or practice of conducting detentive stops without reasonable suspicion that the person to be stopped is within the United States in violation of federal immigration law, in contravention of the Fourth Amendment.",None,Fourteenth Amendment,Secretary of Homeland Security,District-wide (Central District of California),"June 6, 2025",Ronald M. Gould,"The Court of Appeals granted the Defendants' motion for a stay as to a single clause of the TRO, finding it impermissibly vague, but otherwise denied the motion to stay the TRO pending appeal.",Immigration Enforcement,Trump Administration,"Individuals suspected of being in the United States in violation of federal immigration law, particularly those encountered in public places or at businesses where past experience indicated the employment of persons without legal documentation.",None,Unsupportive of Government Immigration Policy,Court of Appeals,Motion for Stay,Membership associations,"United States Court of Appeals, Ninth Circuit"
Judge Jennifer Sung,Judge Jennifer Sung,Perdomo2025-08-01CA9,"{'name': 'Jennifer Sung', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'PER CURIAM', 'role': 'Circuit Judge'}",[],[],"To conduct immigration enforcement operations, including 'contact teams' that stop individuals in public places, particularly targeting businesses like carwashes where persons without legal documentation are likely to be employed.",U.S. citizen,Operation,Department of Homeland Security (DHS) / U.S. Immigration and Customs Enforcement (ICE) / U.S. Customs and Border Patrol (CBP),Administrative Procedure Act (APA) - Arbitrary and Capricious,"August 1, 2025","A policy, pattern, and/or practice of conducting detentive stops without reasonable suspicion that the person to be stopped is within the United States in violation of federal immigration law, in contravention of the Fourth Amendment.",None,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,"June 6, 2025",Ronald M. Gould,"The Court of Appeals granted the defendants' motion for a stay as to a specific clause in the TRO but otherwise denied the motion, meaning the TRO largely remains in effect.",Immigration Enforcement,Trump Administration,"Individuals in public places, particularly those at businesses like carwashes, who may be employed without legal documentation.",None,Unsupportive of Government Immigration Policy,Court of Appeals,Motion for Stay,Individual Noncitizen,"United States Court of Appeals, Ninth Circuit"
Judge Maame E. Frimpong,Judge Maame E. Frimpong,Perdomo2025-08-01CA9,"{'name': 'Maame E. Frimpong', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'District Court Judge', 'role': 'District Judge'}",[],[],To address alleged immigration enforcement practices in the Central District of California involving detentive stops without reasonable suspicion.,Undocumented,TRO,United States District Court for the Central District of California,Fifth Amendment - Due Process (Procedural),2025-07-11,"A policy, pattern, and/or practice by federal immigration enforcement officers of conducting detentive stops in the Central District of California without reasonable suspicion that the person to be stopped is within the United States in violation of federal immigration law, in contravention of the Fourth Amendment.",None,Fourteenth Amendment,Secretary of Homeland Security,Nationwide,2025-06-06,Maame E. Frimpong,"The Court of Appeals granted Defendants' motion to stay as to the ""except as permitted by law"" clause in paragraph b. of the TRO, and otherwise denied the motion.",Immigration Enforcement,Trump Administration,Individuals encountered by federal immigration enforcement officers in public places.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Motion for Stay,Membership associations,"United States Court of Appeals, Ninth Circuit"
William G. Young,William G. Young,Professors2025-04-29DMA,"{'name': 'William G. Young', 'appointing_president': 'George H.W. Bush', 'appointing_party': 'Republican', 'opinion_type': 'Author', 'role': 'Author'}",George H.W. Bush,Republican,"To protect the United States from noncitizens who espouse hateful ideology, do not bear hostile attitudes towards its citizens, culture, government, institutions, or founding principles, and do not advocate for, aid, or support designated foreign terrorists and other threats to national security; and to vigorously combat antisemitism and prosecute, remove, or otherwise hold to account perpetrators of unlawful anti-Semitic harassment and violence.",Lawful Permanent Resident,Executive Order,President of the United States,Fifth Amendment - Due Process (Procedural),2025-04-29,"An alleged policy of targeting noncitizens who engage in pro-Palestinian or anti-Israel speech and association for arrest, detainment, and deportation.","Protecting the United States from Foreign Terrorists and Other National Security and Public Safety Threats; Executive Order 14,188 (combating antisemitism)",First Amendment,President of the United States,Nationwide,2025-01-20,William G. Young,Motion to dismiss for lack of subject matter jurisdiction denied; motion to dismiss for failure to state a claim allowed in part and denied in part.,Immigration Enforcement,Trump Administration,Noncitizens who engage in pro-Palestinian or anti-Israel speech and association.,"14,161",Unsupportive of Government Immigration Policy,District Court,Motion to Dismiss,Non-profit Organization,"United States District Court, D. Massachusetts"
Julio Cesar Sanchez Puentes,Julio Cesar Sanchez Puentes,Puentes2025-04-25WDTX,"{'name': 'DAVID BRIONES', 'appointing_president': 'George W. Bush', 'appointing_party': 'Republican', 'opinion_type': 'Authoring Opinion', 'role': 'Author'}",George W. Bush,Republican,To detain and remove Venezuelan nationals who are members of the Tren de Aragua (TdA) criminal organization.,TPS Holder,Proclamation,President of the United States,Immigration and Nationality Act (INA) - Statutory Violation,2025-04-25,The 'Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua' (TdA Proclamation) and the subsequent detention and removal of individuals identified as members of the Tren de Aragua.,Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua,Immigration and Nationality Act (INA),President of the United States,Nationwide,2025-03-14,DAVID BRIONES,Petition for writ of habeas corpus granted; confinement of noncitizens found unlawful under INA and AEA; ordered immediate release of Petitioners.,Detention/Removal,Trump Administration,Venezuelan nationals who are members of the Tren de Aragua (TdA) criminal organization.,10903,Unsupportive of Government Immigration Policy,District Court,Petition for Writ of Habeas Corpus,Individual Noncitizen,"United States District Court, W.D. Texas, El Paso Division"
Luddis Norelia Sanchez Garcia,Luddis Norelia Sanchez Garcia,Puentes2025-04-25WDTX,"The document mentions David Briones, Senior District Judge, who authored the memorandum opinion and order. It also references Judge G. Michael Harvey, United States Magistrate Judge, who released the petitioners previously, and Judge Leonie Brinkema, who ordered their release in the Eastern District of Virginia. Additionally, Judge Anne T. Berton, United States Magistrate Judge, is mentioned in relation to pretrial hearings.",,The document does not specify the appointing parties for the judges mentioned.,"To detain and remove Venezuelan nationals who are members of the Tren de Aragua (TdA) criminal organization, based on the invocation of the Alien Enemies Act.","Venezuelan nationals, previously held Temporary Protected Status (TPS).",Presidential Proclamation,President of the United States,"The court found that the confinement of the noncitizens was unlawful under the Immigration and Nationality Act (INA) and that the government failed to show by clear and convincing evidence that the detained noncitizens were members of a foreign terrorist organization, thus precluding their designation as 'alien enemies' under the AEA and Presidential Proclamation. The court also found that the government failed to provide sufficient evidence to designate the petitioners as alien enemies.","April 25, 2025","The policy at issue is the 'Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua' (TdA Proclamation), which designates Venezuelan nationals who are members of the Tren de Aragua as alien enemies subject to detention and removal.",Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua,"Immigration and Nationality Act (INA), Due Process Clause of the Fifth Amendment, and the Alien Enemies Act (AEA).","Federal government officials, including Angel Garite, Mary De-Anda-Ybarra, Todd Lyon, Kristi Noem, and Pam Bondi, who are identified as Respondents.","Nationwide for non-citizens detained in federal immigration custody in the Western District of Texas subject to the TdA Proclamation, and specifically for the petitioners, enjoining removal from the district or the United States.","March 14, 2025","David Briones, G. Michael Harvey, Leonie Brinkema, Anne T. Berton","The court granted the petition for a writ of habeas corpus, finding the petitioners' confinement unlawful under the INA and the AEA due to insufficient evidence of their membership in Tren de Aragua. The petitioners were ordered to be released immediately.",Detention/Removal,Trump Administration,Venezuelan nationals who are members of the Tren de Aragua (TdA) criminal organization.,None,Unsupportive of Government Immigration Policy,District Court,Petition for Writ of Habeas Corpus,Individual Noncitizen,"United States District Court, W.D. Texas, El Paso Division"
"William H. Orrick, J.","William H. Orrick, J.",SanFrancisco2025-04-24NDCA,"{'name': 'William H. Orrick, J.', 'appointing_president': 'Barack Obama', 'appointing_party': 'Democratic', 'opinion_type': 'Granting preliminary injunction', 'role': 'Authoring'}",Barack Obama,Democratic,"To end or severely curtail federal funding for cities, counties and states that the Trump administration deems to be sanctuary jurisdictions.",[],Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-04-24,"Executive Orders and Attorney General’s directive mandating withholding of federal funding from ""sanctuary jurisdictions.""","EO 14,159 (“Protecting the American People Against Invasion”) and EO 14,218 (“Ending Taxpayer Subsidization of Open Borders”)",Administrative Procedure Act (APA),President of the United States,Nationwide,2025,"William H. Orrick, J.",Granted preliminary injunction to block the 2025 Executive Orders and Bondi Directive from mandating the withholding of federal funding from sanctuary jurisdictions.,Immigration Enforcement,Trump Administration,"Cities, counties and states that limit the use of local resources to enforce federal immigration law ('sanctuary jurisdictions').","14,159, 14,218",Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,State Government,"United States District Court, N.D. California"
Judge Lydia Kay Griggsby,Judge Lydia Kay Griggsby,Solutions2025-05-29DMA,"{'name': 'Lydia Kay Griggsby', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'DENIES', 'role': 'author'}",[],[],To expand the availability of high-quality citizenship preparation services for LPRs across the nation and to provide opportunities for immigrants to gain the knowledge and skills necessary to assimilate into the fabric of American society.,Legal Permanent Resident,Grant,U.S. Citizenship and Immigration Services (USCIS),Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-05-29,The freeze and termination of grants awarded under the Citizenship And Integration Grant Program (CIGP) by Homeland Security Secretary Kristi Noem.,None,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Undetermined,None,Lydia Kay Griggsby,The Court DENIES the Plaintiffs' motion for a preliminary injunction and APA stay.,Immigration Enforcement,Other,Lawful Permanent Residents (LPRs),None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Non-profit Organization,"United States District Court, D. Maryland"
Patricia Tolliver Giles,Patricia Tolliver Giles,Suri2025-03-20EDVA,"{'name': 'Patricia Tolliver Giles', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'ORDER', 'role': 'Author'}",[],[],To arrest and charge Petitioner with removability.,Other Nonimmigrant,Statute,Department of Homeland Security (DHS),Jurisdiction,"March 20, 2025",Arrest and charging of Petitioner with removability by the Department of Homeland Security.,None,All Writs Act,"President of the United States, Department of Justice",Individual,"March 17, 2025",Patricia Tolliver Giles,"The court ordered that the Petitioner shall not be removed from the United States pending a ruling on the Petition for Writ of Habeas Corpus, invoking the All Writs Act to preserve jurisdiction.",Detention/Removal,Trump Administration,Petitioner Badar Khan Suri,None,Neutral/Procedural,District Court,Petition for Writ of Habeas Corpus,Individual Noncitizen,"United States District Court, E.D. Virginia, Alexandria Division"
Patricia Tolliver Giles,Patricia Tolliver Giles,Suri2025-05-14EDVA,"{'name': 'Patricia Tolliver Giles', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Author', 'role': 'Author'}",[],[],"The case involves a petitioner seeking release on bond and to be returned to the district, implying the immigration policies at issue relate to detention and removal proceedings.","The petitioner is identified as 'Dr. Khan Suri' and is involved in habeas proceedings and removal proceedings, suggesting he is a noncitizen facing removal.","The case concerns a petitioner's motion for release on bond and to be returned to the district, which are actions taken within the context of immigration enforcement and detention policies.","The respondents include various officials from the Department of Homeland Security, Immigration and Customs Enforcement, and the Department of Justice, indicating these agencies are involved in the immigration policies at issue.","The court granted the motion for release on bond and denied the motion to compel return as moot, and denied the respondents' request to stay the decision pending appeal. The specific legal basis for these decisions is not detailed in the provided text, but the granting of bond and release implies consideration of factors related to detention and habeas proceedings.","May 14, 2025","The case concerns the petitioner's detention and potential removal, and the court's decision on release on bond and return to the district.",None,"The case involves a habeas petition and motions for release on bond and to be returned to the district, which are legal challenges related to detention and immigration proceedings.",President of the United States,The order for release on bond and conditions of residence and attendance at hearings apply to the individual petitioner.,None,Patricia Tolliver Giles,The court granted the petitioner's motion for release on bond and denied the motion to compel return as moot. The court also denied the respondents' request to stay the decision pending appeal.,Detention/Removal,Trump Administration,The policy instrument appears to target individuals in immigration detention and subject to removal proceedings.,None,Unsupportive of Government Immigration Policy,District Court,Motion for Release on Bond,Individual Noncitizen,"United States District Court, E.D. Virginia, Alexandria Division"
Judge Wynn,Judge Wynn,Suri2025-07-01CA4,"{'judge_name': 'WYNN', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'majority', 'opinion_role': 'author'}",[],[],"The purpose of the J-1 visa is to allow foreign nationals to come to the United States to participate in exchange visitor programs, which can include study, teaching, or research.",F-1 Student,J-1 visa,Secretary of State,Administrative Procedure Act (APA) - Arbitrary and Capricious,"July 1, 2025",Revocation of a J-1 visa and subsequent detention of an Indian national who opposed the war in Gaza on social media.,None,First Amendment,President of the United States,Nationwide,None,WYNN,"The court denied the government's motion to stay the district court's order pending appeal and its petition for mandamus, affirming the district court's order for the petitioner's release.",Detention/Removal,Trump Administration,Foreign nationals on J-1 exchange visas.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Judge Wilkinson,Judge Wilkinson,Suri2025-07-01CA4,"{'name': 'Judge Wilkinson', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Dissenting', 'opinion_role': 'Author'}",[],[],"The stated or implied purpose of the policy instrument is to address the presence of an individual in the United States that compromises American foreign policy interests, leading to the revocation of their visa and subsequent detention.",F-1 Student,Memorandum,Secretary of State,Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-07-01,"The revocation of a J-1 visa and subsequent detention of an Indian national, Dr. Badar Khan Suri, who had expressed opposition to the war in Gaza on social media. The government asserted that his presence compromised U.S. foreign policy interests.",None,First Amendment,President of the United States,Nationwide,2025-03-15,Judge Wilkinson,"Judge Wilkinson dissented from the majority opinion, arguing that federal habeas proceedings should not be used to circumvent the usual immigration process and that granting the government's motion for a stay pending appeal was appropriate to avoid duplicative proceedings and potential clashes between different federal tribunals.",Immigration Enforcement,Trump Administration,An Indian national holding a J-1 exchange visa.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Appeal of a district court order denying a stay pending appeal and granting release.,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Judge Benjamin,Judge Benjamin,Suri2025-07-01CA4,"{'name': 'Judge Benjamin', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'concurrence', 'role': 'concurrence'}",[],[],The purpose of the policy instrument (revocation of J-1 visa) was purportedly to find that the petitioner's presence in the United States compromises American foreign policy interests.,J-1 visa holder,Visa revocation,Secretary of State,First Amendment,"July 1, 2025","The detention and purported revocation of the J-1 visa of an Indian national, Dr. Badar Khan Suri, who opposed the war in Gaza on social media, with the district court finding the detention to be in retaliation for his First Amendment activity.",None,First Amendment,President of the United States,Nationwide (prohibition on removal from the United States),None,Judge Wynn,"The court denied the government's motion to stay the district court's order pending appeal and its petition for mandamus, affirming the district court's order releasing Dr. Suri.",Detention and Habeas Corpus,Trump Administration,Individuals whose presence in the United States is deemed to compromise American foreign policy interests.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Motion to Stay Order Pending Appeal and Petition for Mandamus,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Edward M. Chen,Edward M. Chen,TPSAlliance2025-03-31NDCA,Edward M. Chen was the judge presiding over this case.,None,None,"The policy's purpose was to provide temporary protection from deportation and work authorization to individuals from Venezuela due to severe humanitarian, economic, and political crises, as well as human rights violations and crime.",Temporary Protected Status (TPS) holders,Temporary Protected Status (TPS) designation and extension,Secretary of Homeland Security,Administrative Procedure Act (APA) - Arbitrary and Capricious,"March 31, 2025",The vacatur and termination of the Temporary Protected Status (TPS) designation for Venezuela.,Protecting the American People Against Invasion,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,"October 3, 2023",Edward M. Chen,The court granted the plaintiffs' motion to postpone the effective dates of the Secretary's decisions vacating the extension and terminating the TPS designation for Venezuela.,Temporary Protected Status (TPS) for Venezuelan nationals,Trump Administration,Venezuelan nationals who have been granted or are eligible for Temporary Protected Status (TPS).,None,Unsupportive of Government Immigration Policy,District Court,Motion to postpone,Individual Noncitizen,"United States District Court, N.D. California"
Judge TASHIMA,Judge TASHIMA,TPSAlliance2025-04-18CA9,"{'name': 'TASHIMA', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'denied', 'role': 'author'}",[],[],"The purpose of the immigration policy instrument is not explicitly stated in the provided text, but it is implied to be related to the executive action being challenged.","The specific immigration statuses of the plaintiffs are not detailed in the provided text, but they are referred to as ""Plaintiffs - Appellees"" and are associated with the ""NATIONAL TPS ALLIANCE"".","The text refers to ""executive action"" and ""executive branch"", suggesting a policy enacted by the executive branch, but the specific type is not detailed.",The issuing authority is implied to be the executive branch of the government.,Irreparable Harm,"April 18, 2025","The case involves a challenge to an executive action related to immigration policy, as indicated by the reference to ""executive action"" and the ""government's assertion"".",None,Irreparable Harm,Secretary of Homeland Security,,None,TASHIMA,The emergency motion to stay the district court’s order was denied.,"The case concerns a challenge to an immigration policy, likely related to TPS (Temporary Protected Status) given the plaintiff's name.",Other,"The target group is not explicitly stated, but the plaintiff is the ""NATIONAL TPS ALLIANCE"", suggesting individuals with Temporary Protected Status.",None,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Immigrant Advocacy Group,"United States Court of Appeals, Ninth Circuit"
Judge OWENS,Judge OWENS,TPSAlliance2025-04-18CA9,"{'name': 'OWENS', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'denied', 'role': 'joining'}",[],[],"The purpose of the immigration policy instrument is not explicitly stated in the provided text, but it is implied to be related to the enforcement or modification of immigration statuses, as the case involves a motion to stay an order concerning such policies.","The specific immigration statuses of the plaintiffs are not detailed in the provided text, but the case title 'NATIONAL TPS ALLIANCE' suggests that Temporary Protected Status (TPS) holders are involved.","The specific type of policy instrument is not explicitly stated, but the context of a stay motion suggests it is an agency action or policy that was subject to a district court order.","The issuing authority is not explicitly stated, but the defendants are identified as Kristi Noem, Secretary of Homeland Security, and others from the U.S. Department of Justice, suggesting a Department of Homeland Security or Department of Justice action.",Irreparable Harm,"April 18, 2025","The specific immigration policy at issue is not detailed, but it is an action or policy that was subject to a district court order and is being appealed by the government.",None,None,Secretary of Homeland Security,Undetermined,None,TASHIMA,The court denied the emergency motion to stay the district court's order.,"The case involves a challenge to an immigration policy or action, leading to a motion for a stay pending appeal.",Other,"The target group is not explicitly stated, but the case title 'NATIONAL TPS ALLIANCE' suggests that individuals with Temporary Protected Status (TPS) are a primary target group.",None,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Immigrant Advocacy Group,"United States Court of Appeals, Ninth Circuit"
Judge DESAI,Judge DESAI,TPSAlliance2025-04-18CA9,"{'name': 'DESAI', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'denied', 'role': 'joining'}",[],[],The purpose of the immigration policy instrument is not explicitly stated in the provided text.,The specific immigration statuses or types of the individual plaintiffs are not detailed in the provided text.,The specific type of official instrument is not explicitly stated in the provided text.,The specific government official or entity that formally issued or enacted the immigration policy instrument is not explicitly stated in the provided text.,Irreparable Harm,"April 18, 2025","The specific immigration policy, executive order, or agency action being challenged or addressed is not explicitly detailed in the provided text.",The formal name of the Executive Order or proclamation is not explicitly stated in the provided text.,The primary legal grounds or constitutional provisions cited by the plaintiffs to challenge the government's action are not explicitly stated in the provided text.,Secretary of Homeland Security,The geographical or population scope of the injunction or relief granted/denied is not explicitly stated in the provided text.,The date the specific immigration policy instrument was issued or became effective is not explicitly stated in the provided text.,"TASHIMA, OWENS, and DESAI","The emergency motion to stay the district court’s March 31, 2025 order is denied.",The broad subject area of the immigration case is not explicitly detailed in the provided text.,The U.S. Presidential administration whose immigration policy or action is being challenged or is central to the case is not explicitly stated in the provided text.,The specific group of individuals or entities that the immigration policy instrument primarily targets or affects is not explicitly stated in the provided text.,The formal number of the Executive Order or proclamation is not explicitly stated in the provided text.,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,"Individual Noncitizen, Immigrant Advocacy Group","United States Court of Appeals, Ninth Circuit"
Justice Kagan,Justice Kagan,TPSAlliance2025-05-19SCt,"{'name': 'Justice Kagan', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'granted stay', 'role': 'referred to the Court'}",,,"To provide Temporary Protected Status (TPS) to eligible individuals, allowing them to live and work in the United States.",,Vacatur notice,"Secretary Noem, DHS",Administrative Procedure Act (APA) - Arbitrary and Capricious,"May 19, 2025","The vacatur notice issued by Secretary Noem on February 3, 2025, which purports to invalidate Employment Authorization Documents (EADs), Forms I-797, Notices of Action, and Forms I-94 issued with October 2, 2026 expiration dates.",None,Administrative Procedure Act (APA),Secretary of Homeland Security,Nationwide,"February 3, 2025",Justice Kagan,"The Supreme Court granted the application for a stay, pausing the effect of the March 31, 2025 order from the District Court pending further appeals.",Immigration Enforcement,Other,"Individuals with EADs, Forms I-797, Notices of Action, and Forms I-94 issued with October 2, 2026 expiration dates.",None,Supportive of Government Immigration Policy,Supreme Court,Stay Pending Appeal,Class Action,Supreme Court of the United States
Justice Jackson,Justice Jackson,TPSAlliance2025-05-19SCt,"{'name': 'Justice Jackson', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Would deny the application', 'role': 'Authoring/Joining Opinion'}",,,"The purpose of the vacatur notice was to invalidate Employment Authorization Documents (EADs), Forms I-797, Notices of Action, and Forms I-94 issued with October 2, 2026 expiration dates.",,Vacatur notice,"Secretary Noem, DHS",Immigration and Nationality Act (INA) - Statutory Violation,"May 19, 2025","Secretary Noem's February 3, 2025 vacatur notice that purports to invalidate EADs, Forms I-797, Notices of Action, and Forms I-94 issued with October 2, 2026 expiration dates.",,Immigration and Nationality Act (INA),Secretary of Homeland Security,Nationwide,"February 3, 2025",Justice Jackson,Justice Jackson would deny the application for stay.,Temporary Protected Status (TPS) related documents,Other,"Individuals with EADs, Forms I-797, Notices of Action, and Forms I-94 issued with October 2, 2026 expiration dates.",,Unsupportive of Government Immigration Policy,Supreme Court,Application for Stay,Class Action,Supreme Court of the United States
Edward M. Chen,Edward M. Chen,TPSAlliance2025-05-30NDCA,"{'name': 'Edward M. Chen', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Granting in part and denying in part', 'role': 'Authoring'}",[],[],"To extend Temporary Protected Status (TPS) for Venezuelan nationals, allowing them to remain in the U.S. and obtain employment authorization.",TPS Holder,Extension of Designation,Secretary of Homeland Security,Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-05-30,"The vacatur and termination of the Temporary Protected Status (TPS) designation for Venezuela, and the subsequent invalidation of TPS-related documentation issued under an extended designation.",None,Administrative Procedure Act (APA),Secretary of Homeland Security,Nationwide,2025-01-17,Edward M. Chen,"The court granted in part and denied in part the plaintiffs' motion to preserve status and rights, postponing the effective date of the Secretary's vacatur decision regarding TPS-related documentation issued under the extended designation.",Refugee Resettlement,Trump Administration,Venezuelan TPS holders,None,Unsupportive of Government Immigration Policy,District Court,Motion to Preserve Status/Rights,Individual Noncitizen,"United States District Court, N.D. California"
Elizabeth C. Coombe,Elizabeth C. Coombe,Taal2025-03-27NDNY,Elizabeth C. Coombe presided over the case.,Donald J. Trump,Republican,"To protect the United States from foreign terrorists and other national security and public safety threats, and to combat anti-Semitism.",F-1 Student,Executive Order,President of the United States,"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment)","March 27, 2025","Portions of two executive orders, EO1 and EO2, which plaintiffs allege violate their First and Fifth Amendment rights.",Protecting the United States From Foreign Terrorists and Other National Security and Public Safety Threats,First Amendment,President of the United States,Undetermined,"January 20, 2025",Elizabeth C. Coombe,"The court denied the plaintiffs' motions for a temporary restraining order, finding that they had not met the burden of showing entitlement to the extraordinary remedy sought, citing jurisdictional issues and lack of standing.",Immigration Enforcement,Trump Administration,Foreign terrorists and individuals associated with anti-Semitism.,14161,Unsupportive of Government Immigration Policy,District Court,Temporary Restraining Order,Individual Noncitizen,"United States District Court, N.D. New York"
Judge Nina Y. Wang,Judge Nina Y. Wang,Vizguerra2025-03-21DCO,"{'name': 'Nina Y. Wang', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Authoring', 'role': 'Author'}",[],[],"The purpose of the policy instrument is to detain individuals apprehended by ICE, potentially for removal proceedings.",Undocumented,Detention,U.S. Immigration and Customs Enforcement (ICE),Fifth Amendment - Due Process (Procedural),"March 21, 2025","The legality of Jeanette Vizguerra-Ramirez's detention by ICE, specifically whether it is without statutory authority due to not being placed in removal proceedings or subject to a valid reinstated prior order of removal.",None,Immigration and Nationality Act (INA),Department of Homeland Security (DHS),Nationwide and United States,None,Nina Y. Wang,The court issued an order for Respondents to not remove Petitioner Jeannette Vizguerra-Ramirez from the District of Colorado or the United States unless and until the court or the Court of Appeals for the Tenth Circuit vacates this Order. This injunction is intended to preserve the status quo and allow the court to thoughtfully consider the issues raised.,Detention/Removal,Other,"Individuals detained by ICE, specifically those who have not been placed in removal proceedings or are subject to a potentially invalid reinstated prior order of removal.",None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,United States District Court for the District of Colorado
"STEPHANIE L. HAINES, UNITED STATES DISTRICT COURT JUDGE","STEPHANIE L. HAINES, UNITED STATES DISTRICT COURT JUDGE",WJCC2025-06-18WDPA,"{'name': 'STEPHANIE L. HAINES', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'GRANT IN PART and DENIES IN PART', 'role': 'authoring'}",[],[],"To apprehend, restrain, secure, and remove alien enemies who are members of the designated Foreign Terrorist Organization (TdA) and are within the United States, due to their alleged perpetration, attempt, or threat of invasion or predatory incursion against the United States.",Other Nonimmigrant,Proclamation,President of the United States,Fifth Amendment - Due Process (Procedural),2025-06-18,President Donald J. Trump's Proclamation invoking the Alien Enemies Act (AEA) to address the alleged invasion of the United States by members of the Venezuelan organization Tren de Aragua (TdA).,None,Fifth Amendment,President of the United States,Nationwide,2025-03-14,STEPHANIE L. HAINES,"The court granted in part and denied in part the petitioner's motion for a preliminary injunction. The court ordered the government to comply with specific notice requirements before removing the petitioner under the Proclamation and AEA, as previously articulated in a prior case (A.S.R.). However, the court denied the petitioner's request for an injunction barring his transfer from the Western District of Pennsylvania.",Immigration Enforcement,Trump Administration,"Venezuelan citizens 14 years of age or older who are members of Tren de Aragua (TdA), are within the United States, and are not actually naturalized or lawful permanent residents.",None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, W.D. Pennsylvania"
